YEAR,AGE GROUP,GENDER,POPULATION
1960,0-14,Male,93261350
1960,15-64,Male,129561939
1960,65 & Above,Male,7312290
1960,0-14,Female,87442305
1960,15-64,Female,121010551
1960,65 & Above,Female,7366145
1961,0-14,Male,96165815
1961,15-64,Male,131820336
1961,65 & Above,Male,7574426
1961,0-14,Female,90010652
1961,15-64,Female,123162824
1961,65 & Above,Female,7617823
1962,0-14,Male,99130339
1962,15-64,Male,134114410
1962,65 & Above,Male,7881113
1962,0-14,Female,92621895
1962,15-64,Female,125347053
1962,65 & Above,Female,7929384
1963,0-14,Male,102123470
1963,15-64,Male,136474698
1963,65 & Above,Male,8215123
1963,0-14,Female,95287161
1963,15-64,Female,127558447
1963,65 & Above,Female,8274721
1964,0-14,Male,104855605
1964,15-64,Male,139210229
1964,65 & Above,Male,8547095
1964,0-14,Female,97807150
1964,15-64,Female,130029223
1964,65 & Above,Female,8610006
1965,0-14,Male,107219224
1965,15-64,Male,142303843
1965,65 & Above,Male,8850420
1965,0-14,Female,100042918
1965,15-64,Female,132791602
1965,65 & Above,Female,8906339
1966,0-14,Male,109440547
1966,15-64,Male,145479305
1966,65 & Above,Male,9121755
1966,0-14,Female,102143283
1966,15-64,Female,135649237
1966,65 & Above,Female,9158490
1967,0-14,Male,111609618
1967,15-64,Male,148793551
1967,65 & Above,Male,9367810
1967,0-14,Female,104196854
1967,15-64,Female,138647011
1967,65 & Above,Female,9372226
1968,0-14,Male,113819244
1968,15-64,Male,152305734
1968,65 & Above,Male,9611503
1968,0-14,Female,106293825
1968,15-64,Female,141826042
1968,65 & Above,Female,9575561
1969,0-14,Male,116062165
1969,15-64,Male,155997889
1969,65 & Above,Male,9874152
1969,0-14,Female,108423772
1969,15-64,Female,145156489
1969,65 & Above,Female,9800204
1970,0-14,Male,118284613
1970,15-64,Male,159853267
1970,65 & Above,Male,10154525
1970,0-14,Female,110529382
1970,15-64,Female,148626216
1970,65 & Above,Female,10053300
1971,0-14,Male,120544453
1971,15-64,Male,163813992
1971,65 & Above,Male,10460498
1971,0-14,Female,112661270
1971,15-64,Female,152175507
1971,65 & Above,Female,10343459
1972,0-14,Male,122846939
1972,15-64,Male,167880764
1972,65 & Above,Male,10801673
1972,0-14,Female,114821338
1972,15-64,Female,155804326
1972,65 & Above,Female,10682933
1973,0-14,Male,125204686
1973,15-64,Male,172086853
1973,65 & Above,Male,11173920
1973,0-14,Female,117022250
1973,15-64,Female,159553692
1973,65 & Above,Female,11066082
1974,0-14,Male,127642454
1974,15-64,Male,176376871
1974,65 & Above,Male,11564738
1974,0-14,Female,119287181
1974,15-64,Female,163375406
1974,65 & Above,Female,11475302
1975,0-14,Male,130080487
1975,15-64,Male,180756160
1975,65 & Above,Male,11964306
1975,0-14,Female,121540923
1975,15-64,Female,167283175
1975,65 & Above,Female,11899170
1976,0-14,Male,132509850
1976,15-64,Male,185205458
1976,65 & Above,Male,12362271
1976,0-14,Female,123774031
1976,15-64,Female,171269589
1976,65 & Above,Female,12330247
1977,0-14,Male,134935812
1977,15-64,Male,189815703
1977,65 & Above,Male,12744811
1977,0-14,Female,125993942
1977,15-64,Female,175438630
1977,65 & Above,Female,12756730
1978,0-14,Male,137337056
1978,15-64,Male,194626414
1978,65 & Above,Male,13106138
1978,0-14,Female,128183880
1978,15-64,Female,179840592
1978,65 & Above,Female,13173679
1979,0-14,Male,139825715
1979,15-64,Male,199551287
1979,65 & Above,Male,13449327
1979,0-14,Female,130443320
1979,15-64,Female,184394291
1979,65 & Above,Female,13584443
1980,0-14,Male,142504599
1980,15-64,Male,204595109
1980,65 & Above,Male,13775619
1980,0-14,Female,132857959
1980,15-64,Female,189104367
1980,65 & Above,Female,13990732
1981,0-14,Male,145350386
1981,15-64,Male,209712939
1981,65 & Above,Male,14086521
1981,0-14,Female,135406795
1981,15-64,Female,193917743
1981,65 & Above,Female,14394914
1982,0-14,Male,148243209
1982,15-64,Male,214910887
1982,65 & Above,Male,14388422
1982,0-14,Female,137996643
1982,15-64,Female,198827033
1982,65 & Above,Female,14803270
1983,0-14,Male,151148977
1983,15-64,Male,220266784
1983,65 & Above,Male,14686509
1983,0-14,Female,140604489
1983,15-64,Female,203899347
1983,65 & Above,Female,15220442
1984,0-14,Male,154130233
1984,15-64,Male,225751666
1984,65 & Above,Male,14983598
1984,0-14,Female,143282818
1984,15-64,Female,209098486
1984,65 & Above,Female,15648356
1985,0-14,Male,157149328
1985,15-64,Male,231333370
1985,65 & Above,Male,15283723
1985,0-14,Female,145998524
1985,15-64,Female,214387546
1985,65 & Above,Female,16089592
1986,0-14,Male,160184735
1986,15-64,Male,237036480
1986,65 & Above,Male,15590468
1986,0-14,Female,148733707
1986,15-64,Female,219787007
1986,65 & Above,Female,16546598
1987,0-14,Male,163175453
1987,15-64,Male,242879520
1987,65 & Above,Male,15905551
1987,0-14,Female,151420422
1987,15-64,Female,225315297
1987,65 & Above,Female,17019883
1988,0-14,Male,166049337
1988,15-64,Male,248911194
1988,65 & Above,Male,16233858
1988,0-14,Female,153998880
1988,15-64,Female,231025251
1988,65 & Above,Female,17511161
1989,0-14,Male,168827666
1989,15-64,Male,255140407
1989,65 & Above,Male,16583222
1989,0-14,Female,156514539
1989,15-64,Female,236922889
1989,65 & Above,Female,18023951
1990,0-14,Male,171518928
1990,15-64,Male,261506458
1990,65 & Above,Male,16958673
1990,0-14,Female,158963000
1990,15-64,Female,242944659
1990,65 & Above,Female,18560448
1991,0-14,Male,174160430
1991,15-64,Male,267938721
1991,65 & Above,Male,17364341
1991,0-14,Female,161344326
1991,15-64,Female,249015323
1991,65 & Above,Female,19118616
1992,0-14,Male,176806685
1992,15-64,Male,274434272
1992,65 & Above,Male,17805139
1992,0-14,Female,163700301
1992,15-64,Female,255131549
1992,65 & Above,Female,19696104
1993,0-14,Male,179434669
1993,15-64,Male,281020186
1993,65 & Above,Male,18281121
1993,0-14,Female,166002074
1993,15-64,Female,261319462
1993,65 & Above,Female,20293783
1994,0-14,Male,181966156
1994,15-64,Male,287780335
1994,65 & Above,Male,18788913
1994,0-14,Female,168165062
1994,15-64,Female,267645833
1994,65 & Above,Female,20915658
1995,0-14,Male,184351434
1995,15-64,Male,294753977
1995,65 & Above,Male,19327054
1995,0-14,Female,170146482
1995,15-64,Female,274136465
1995,65 & Above,Female,21563718
1996,0-14,Male,186538689
1996,15-64,Male,301915946
1996,65 & Above,Male,19894525
1996,0-14,Female,171921358
1996,15-64,Female,280773055
1996,65 & Above,Female,22237644
1997,0-14,Male,188573390
1997,15-64,Male,309241713
1997,65 & Above,Male,20488515
1997,0-14,Female,173534316
1997,15-64,Female,287558971
1997,65 & Above,Female,22938325
1998,0-14,Male,190488495
1998,15-64,Male,316690849
1998,65 & Above,Male,21108069
1998,0-14,Female,175011232
1998,15-64,Female,294469486
1998,65 & Above,Female,23666444
1999,0-14,Male,192219475
1999,15-64,Male,324271563
1999,65 & Above,Male,21753322
1999,0-14,Female,176321733
1999,15-64,Female,301513426
1999,65 & Above,Female,24420534
2000,0-14,Male,193854336
2000,15-64,Male,331949275
2000,65 & Above,Male,22419970
2000,0-14,Female,177545254
2000,15-64,Female,308668232
2000,65 & Above,Female,25196609
2001,0-14,Male,195436734
2001,15-64,Male,339744872
2001,65 & Above,Male,23109726
2001,0-14,Female,178723539
2001,15-64,Female,315952267
2001,65 & Above,Female,26003768
2002,0-14,Male,196901139
2002,15-64,Male,347608938
2002,65 & Above,Male,23824796
2002,0-14,Female,179820977
2002,15-64,Female,323305918
2002,65 & Above,Female,26851271
2003,0-14,Male,198208563
2003,15-64,Male,355480266
2003,65 & Above,Male,24547413
2003,0-14,Female,180776648
2003,15-64,Female,330680176
2003,65 & Above,Female,27722058
2004,0-14,Male,199329376
2004,15-64,Male,363409505
2004,65 & Above,Male,25251483
2004,0-14,Female,181541639
2004,15-64,Female,338151557
2004,65 & Above,Female,28581022
2005,0-14,Male,200252910
2005,15-64,Male,371296735
2005,65 & Above,Male,25928021
2005,0-14,Female,182131874
2005,15-64,Female,345614864
2005,65 & Above,Female,29414309
2006,0-14,Male,200880719
2006,15-64,Male,379145182
2006,65 & Above,Male,26585490
2006,0-14,Female,182495898
2006,15-64,Female,353034885
2006,65 & Above,Female,30231611
2007,0-14,Male,201244111
2007,15-64,Male,387026058
2007,65 & Above,Male,27236110
2007,0-14,Female,182667444
2007,15-64,Female,360479007
2007,65 & Above,Female,31039079
2008,0-14,Male,201472924
2008,15-64,Male,394873094
2008,65 & Above,Male,27896002
2008,0-14,Female,182756735
2008,15-64,Female,367890500
2008,65 & Above,Female,31845550
2009,0-14,Male,201592783
2009,15-64,Male,402714845
2009,65 & Above,Male,28584774
2009,0-14,Female,182800151
2009,15-64,Female,375280793
2009,65 & Above,Female,32666813
2010,0-14,Male,201564895
2010,15-64,Male,410677043
2010,65 & Above,Male,29324091
2010,0-14,Female,182760984
2010,15-64,Female,382761368
2010,65 & Above,Female,33525239
2011,0-14,Male,201380848
2011,15-64,Male,418727029
2011,65 & Above,Male,30136513
2011,0-14,Female,182619031
2011,15-64,Female,390310453
2011,65 & Above,Female,34447318
2012,0-14,Male,201025498
2012,15-64,Male,426774881
2012,65 & Above,Male,31039056
2012,0-14,Female,182362184
2012,15-64,Female,397829068
2012,65 & Above,Female,35456527
2013,0-14,Male,200473716
2013,15-64,Male,434779546
2013,65 & Above,Male,32069621
2013,0-14,Female,181963373
2013,15-64,Female,405280918
2013,65 & Above,Female,36564888
2014,0-14,Male,199612180
2014,15-64,Male,442515942
2014,65 & Above,Male,33421235
2014,0-14,Female,181292991
2014,15-64,Female,412483499
2014,65 & Above,Female,37920662
2015,0-14,Male,198443019
2015,15-64,Male,450023210
2015,65 & Above,Male,35076985
2015,0-14,Female,180350157
2015,15-64,Female,419436547
2015,65 & Above,Female,39536588
2016,0-14,Male,197122936
2016,15-64,Male,457653770
2016,65 & Above,Male,36846713
2016,0-14,Female,179281944
2016,15-64,Female,426461342
2016,65 & Above,Female,41269636
2017,0-14,Male,195635160
2017,15-64,Male,465248052
2017,65 & Above,Male,38704678
2017,0-14,Female,178062210
2017,15-64,Female,433446061
2017,65 & Above,Female,43099520
2018,0-14,Male,194054744
2018,15-64,Male,472475512
2018,65 & Above,Male,40618975
2018,0-14,Female,176776426
2018,15-64,Female,440078207
2018,65 & Above,Female,44999443
2019,0-14,Male,192383374
2019,15-64,Male,479375657
2019,65 & Above,Male,42566026
2019,0-14,Female,175441886
2019,15-64,Female,446395775
2019,65 & Above,Female,46949331
2020,0-14,Male,190599344
2020,15-64,Male,486051680
2020,65 & Above,Male,44346424
2020,0-14,Female,174029920
2020,15-64,Female,452534765
2020,65 & Above,Female,48824994
2021,0-14,Male,188878814
2021,15-64,Male,492081401
2021,65 & Above,Male,45543213
2021,0-14,Female,172690428
2021,15-64,Female,458164165
2021,65 & Above,Female,50205819
2022,0-14,Male,187217177
2022,15-64,Male,497519359
2022,65 & Above,Male,46443962
2022,0-14,Female,171417071
2022,15-64,Female,463285026
2022,65 & Above,Female,51290577
2023,0-14,Male,185558095
2023,15-64,Male,503270194
2023,65 & Above,Male,48023243
2023,0-14,Female,170174929
2023,15-64,Female,468590333
2023,65 & Above,Female,53010869
